epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.85,2.77754,4.02286,2.42805,0.00297,0.52433,0.00181,0.0004,2.68408,3.93283,2.74411,0.000475093,0.000475093,0.000475093
2,252.922,2.6316,3.7055,2.32669,0.00434,0.81181,0.0055,0.00131,2.58351,3.76384,2.45585,0.000920029,0.000920029,0.000920029
3,377.37,2.592,3.69343,2.30796,0.00313,0.46095,0.00193,0.00043,2.41592,4.14565,2.48369,0.00133353,0.00133353,0.00133353
4,499.558,2.56768,3.68921,2.27495,0.00318,0.61114,0.00233,0.00058,2.57743,3.96568,2.48982,0.00128753,0.00128753,0.00128753
5,623.064,2.53457,3.66583,2.27553,0.00394,0.75761,0.00499,0.00122,2.48406,3.78744,2.4376,0.00124037,0.00124037,0.00124037
6,745.66,2.52469,3.65162,2.2592,0.00392,0.77088,0.00542,0.00127,2.41959,3.75711,2.36453,0.00119322,0.00119322,0.00119322
7,867.83,2.5064,3.62671,2.23502,0.00369,0.69894,0.00482,0.00114,2.41146,3.79725,2.39443,0.00114606,0.00114606,0.00114606
8,991.469,2.50498,3.62663,2.22605,0.00386,0.74767,0.00502,0.00123,2.39245,3.74899,2.3918,0.0010989,0.0010989,0.0010989
9,1115.01,2.48387,3.61629,2.1985,0.00403,0.80204,0.00576,0.00143,2.3871,3.72936,2.36379,0.00105174,0.00105174,0.00105174
10,1240.36,2.473,3.61441,2.20126,0.00371,0.71923,0.00531,0.00121,2.3291,3.75388,2.40497,0.00100459,0.00100459,0.00100459
11,1364.53,2.46167,3.61262,2.19232,0.00345,0.68084,0.00396,0.00091,2.34626,3.78886,2.42787,0.00095743,0.00095743,0.00095743
12,1490.75,2.45527,3.59984,2.18018,0.00433,0.85466,0.00642,0.00153,2.3868,3.74326,2.35996,0.000910273,0.000910273,0.000910273
13,1614.82,2.44722,3.60209,2.19189,0.00404,0.797,0.00559,0.00137,2.35206,3.72643,2.37457,0.000863116,0.000863116,0.000863116
14,1739.69,2.43471,3.60748,2.17652,0.00397,0.78038,0.00545,0.00133,2.32336,3.75131,2.3718,0.000815959,0.000815959,0.000815959
15,1862.9,2.42292,3.59967,2.16714,0.00383,0.76043,0.00517,0.0013,2.29936,3.74335,2.38386,0.000768802,0.000768802,0.000768802
16,1987.38,2.41232,3.60569,2.17108,0.00389,0.77471,0.00554,0.00135,2.30555,3.76545,2.34055,0.000721645,0.000721645,0.000721645
17,2113.17,2.41672,3.59292,2.15742,0.004,0.79613,0.00588,0.0016,2.32439,3.72154,2.33725,0.000674488,0.000674488,0.000674488
18,2238.51,2.40945,3.58338,2.15083,0.00421,0.83675,0.00618,0.00151,2.3401,3.7016,2.29799,0.000627331,0.000627331,0.000627331
19,2364.04,2.38584,3.58965,2.14387,0.004,0.786,0.00585,0.00149,2.33104,3.72408,2.36041,0.000580174,0.000580174,0.000580174
20,2489.14,2.38857,3.58709,2.14748,0.00405,0.79229,0.00728,0.00158,2.35029,3.70446,2.34875,0.000533017,0.000533017,0.000533017
21,2613.05,2.36856,3.72514,2.34569,0.00388,0.77301,0.00568,0.00138,2.31355,3.73641,2.37664,0.00048586,0.00048586,0.00048586
22,2734.65,2.35095,3.70744,2.33435,0.00404,0.79469,0.00676,0.00172,2.31391,3.70597,2.34642,0.000438703,0.000438703,0.000438703
23,2856.88,2.34325,3.70747,2.33505,0.004,0.79241,0.00525,0.00134,2.29778,3.71044,2.32873,0.000391546,0.000391546,0.000391546
24,2978.62,2.34041,3.70808,2.3306,0.00401,0.79265,0.00574,0.00146,2.31681,3.70854,2.33692,0.000344389,0.000344389,0.000344389
25,3100.29,2.34061,3.70468,2.31836,0.00407,0.78831,0.00547,0.00138,2.29074,3.71052,2.3169,0.000297232,0.000297232,0.000297232
26,3221.95,2.33372,3.69921,2.32001,0.00408,0.80284,0.00544,0.00137,2.30244,3.70966,2.32613,0.000250075,0.000250075,0.000250075
27,3343.22,2.3239,3.70188,2.31535,0.00418,0.82723,0.00746,0.00248,2.31595,3.68681,2.29744,0.000202918,0.000202918,0.000202918
28,3466.18,2.32237,3.70298,2.3175,0.00394,0.78026,0.00531,0.00131,2.29526,3.70905,2.31629,0.000155761,0.000155761,0.000155761
29,3588.59,2.32265,3.69492,2.29626,0.00403,0.80053,0.00576,0.00142,2.28609,3.70978,2.30185,0.000108604,0.000108604,0.000108604
30,3710.78,2.31904,3.69777,2.29812,0.00394,0.78191,0.00592,0.00141,2.27598,3.72009,2.31358,6.1447e-05,6.1447e-05,6.1447e-05
